1399;Swiping Right
144337;Stop Sign
54622;Thumb Up
7749;Stop Sign
86575;Zooming In With Full Hand
75075;Zooming In With Full Hand
42817;Doing other things
33073;Thumb Up
22277;Thumb Up
92425;Swiping Right
57329;Zooming In With Full Hand
76711;Doing other things
5285;Stop Sign
10900;Swiping Up
91812;Zooming In With Full Hand
134147;Doing other things
85703;Doing other things
72129;Doing other things
7793;No gesture
129519;Doing other things
33023;Swiping Up
75304;Swiping Up
59069;Thumb Up
83449;Zooming In With Full Hand
38702;Doing other things
138092;Thumb Up
76875;Doing other things
128895;No gesture
61451;Thumb Up
108508;Doing other things
91179;Doing other things
92181;Stop Sign
42277;Swiping Right
82993;Zooming In With Full Hand
53951;Thumb Up
91846;Zooming In With Full Hand
122240;Stop Sign
137850;Zooming In With Full Hand
33632;Doing other things
85600;Swiping Right
27069;Zooming In With Full Hand
18120;Zooming In With Full Hand
23206;Stop Sign
42342;Swiping Right
34793;Zooming In With Full Hand
60504;Stop Sign
99600;Doing other things
32817;Thumb Up
3442;No gesture
67902;Stop Sign
53418;Doing other things
41639;Doing other things
60045;Swiping Up
102364;Doing other things
37717;Stop Sign
118187;Doing other things
113872;Doing other things
72197;Thumb Up
139427;Zooming In With Full Hand
67977;Doing other things
34464;Doing other things
78018;No gesture
8771;Zooming In With Full Hand
111477;Swiping Right
144164;Doing other things
48270;Doing other things
87450;Doing other things
30467;Doing other things
96861;Thumb Up
130729;Swiping Right
64480;Stop Sign
89650;Stop Sign
57060;Swiping Right
77615;Swiping Right
133520;Swiping Right
70811;Swiping Up
49409;Doing other things
111895;Stop Sign
93528;Swiping Right
7119;Doing other things
6565;No gesture
27371;Swiping Right
197;Zooming In With Full Hand
72980;Zooming In With Full Hand
36734;Doing other things
78172;Zooming In With Full Hand
70418;Doing other things
140194;Swiping Right
59158;Doing other things
123609;Doing other things
105764;Doing other things
82274;Stop Sign
85145;Doing other things
79086;Stop Sign
124904;Doing other things
46715;Swiping Up
21623;Swiping Up
116487;No gesture
146501;Swiping Right
61573;No gesture
101078;No gesture
47626;No gesture
51934;Stop Sign
30065;Stop Sign
71892;No gesture
5448;Swiping Up
31370;Zooming In With Full Hand
135555;Doing other things
38977;Thumb Up
98546;Zooming In With Full Hand
3358;Stop Sign
101120;Doing other things
9374;No gesture
23000;Doing other things
17817;Stop Sign
124730;Swiping Right
144873;Stop Sign
15484;Doing other things
131411;Stop Sign
102810;Zooming In With Full Hand
107765;Thumb Up
47904;Stop Sign
114547;No gesture
4769;Swiping Right
12512;Doing other things
111472;Swiping Up
144377;Thumb Up
20466;No gesture
18942;Thumb Up
21008;Zooming In With Full Hand
133609;Swiping Up
22939;Stop Sign
98115;No gesture
142826;Thumb Up
70747;Doing other things
93309;No gesture
45798;Zooming In With Full Hand
78128;Thumb Up
57151;Stop Sign
56390;Swiping Up
51205;Swiping Right
52541;Doing other things
46911;Doing other things
84284;Zooming In With Full Hand
56658;Thumb Up
14562;Zooming In With Full Hand
50687;Doing other things
81249;No gesture
121035;Zooming In With Full Hand
107223;Stop Sign
28581;Thumb Up
99575;No gesture
56945;Doing other things
50583;Swiping Right
99247;Swiping Up
132608;Swiping Up
36360;Stop Sign
138657;Thumb Up
66136;Thumb Up
23290;Thumb Up
113194;Zooming In With Full Hand
75888;Zooming In With Full Hand
54484;No gesture
50118;Doing other things
117744;Zooming In With Full Hand
87486;Doing other things
86556;Doing other things
128005;No gesture
97456;Swiping Up
